"",Green Streets,"IL, 60623",,09:34 AM,09:34 AM,,Green Streets,"1 01ZF, 2 O8JD, 7D"
"",,COOK,,,,,,
10-00048500,Tree Planting -,"4645 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,7 06ZB TURFCARE
"",Green Streets,"IL, 60641",,09:35 AM,09:35 AM,,Green Streets,
"",,COOK,,,,,,
10-00048504,Tree Planting -,"4701 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60641",,09:35 AM,09:36 AM,,Green Streets,
"",,COOK,,,,,,
10-00048509,Tree Planting -,"3400 W DOUGLAS , CHICAGO, IL,",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,"3400-3444 DOUGLAS, 1 32PC, 1"
"",Green Streets,,,09:35 AM,09:36 AM,,Green Streets,"32NC, 1 25ZF, 3 08JD, 1 01ZF,"
"",,,,,,,,7D
10-00048513,Tree Planting -,"7394 N ROGERS AVE , CHICAGO, IL, 49-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,3 - 01ZF TURFCARE
"",Green Streets,60626,,09:36 AM,09:37 AM,,Green Streets,
"",,COOK,,,,,,
10-00048522,Tree Planting -,"2654 W TOUHY AVE , CHICAGO, IL, 50-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60645,,09:37 AM,09:37 AM,,Green Streets,
"",,COOK,,,,,,
10-00048524,Tree Planting -,"3504 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"IL, 60623",,09:37 AM,09:37 AM,,Green Streets,
"",,COOK,,,,,,
10-00048528,Tree Planting -,"7438 N CALIFORNIA AVE , 50-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60645",,09:37 AM,09:38 AM,,Green Streets,
"",,COOK,,,,,,
10-00048532,Tree Planting -,"3528 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,3 25ZF 7D
"",Green Streets,"IL, 60623",,09:38 AM,09:38 AM,,Green Streets,
"",,COOK,,,,,,
10-00048535,Tree Planting -,"2928 W GRANVILLE AVE , 50-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,2 13ZG TURFCARE
"",Green Streets,"CHICAGO, IL, 60659",,09:38 AM,09:38 AM,,Green Streets,
"",,COOK,,,,,,
10-00048542,Tree Planting -,"2329 W PRATT BLVD , CHICAGO, IL, 50-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,60645,,09:38 AM,09:39 AM,,Green Streets,
"",,COOK,,,,,,
10-00048546,Tree Planting -,"3600 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,"3600-3618 DOUGLAS, 1 08JD, 1"
"",Green Streets,"IL, 60623",,09:38 AM,09:39 AM,,Green Streets,"32PC, 1 32NC 7D"
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
10-00048548,Tree Planting -,"2104 W DEVON AVE , CHICAGO, IL, 50-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,60659,,09:39 AM,09:39 AM,,Green Streets,
"",,COOK,,,,,,
10-00048552,Tree Planting -,"3516 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"IL, 60623",,09:39 AM,09:39 AM,,Green Streets,
"",,COOK,,,,,,
10-00048562,Tree Planting -,"3704 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,"3704 - 3712 DOUGLAS, 1 08JD,"
"",Green Streets,"IL, 60623",,09:40 AM,09:40 AM,,Green Streets,"1 25ZF, 1 01ZF, 1 32PC, 7D"
"",,COOK,,,,,,
10-00048565,Tree Planting -,"2143 W GRANVILLE AVE , 40-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60659",,09:40 AM,09:41 AM,,Green Streets,
"",,COOK,,,,,,
10-00048569,Tree Planting -,"1853 S FAIRFIELD AVE , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,2 08JD 7D
"",Green Streets,"IL, 60608",,09:41 AM,09:41 AM,,Green Streets,
"",,COOK,,,,,,
10-00048571,Tree Planting -,"6138 N CLARK ST , CHICAGO, IL, 40-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60660,,09:41 AM,09:41 AM,,Green Streets,
"",,COOK,,,,,,
10-00048580,Tree Planting -,"1854 S FAIRFIELD AVE , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,4 25ZF 7D
"",Green Streets,"IL, 60608",,09:41 AM,09:42 AM,,Green Streets,
"",,COOK,,,,,,
10-00048581,Tree Planting -,"1440 W DEVON AVE , CHICAGO, IL, 49-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,2 13ZG TURFCARE
"",Green Streets,60660,,09:41 AM,09:42 AM,,Green Streets,
"",,COOK,,,,,,
10-00048590,Tree Planting -,"1246 W DEVON AVE , CHICAGO, IL, 49-Ward",,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,2 01ZF TURFCARE
"",Green Streets,60660,,09:42 AM,09:42 AM,,Green Streets,
"",,COOK,,,,,,
10-00048608,Tree Planting -,"1602 S CALIFORNIA BLVD , 24-Ward",,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,"1602 - 1650, 2 13ZG, 4 25ZF, 5"
"",Green Streets,"CHICAGO, IL, 60608",,09:42 AM,09:44 AM,,Green Streets,"08JD, 7D"
"",,COOK,,,,,,
10-00048620,Tree Planting -,"4718 W ARTHINGTON ST , 24-Ward",,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,4 13ZG 7D
"",Green Streets,"CHICAGO, IL, 60644",,09:44 AM,09:45 AM,,Green Streets,
"",,COOK,,,,,,
10-00048629,Tree Planting -,"4737 W ARTHINGTON ST , 24-Ward",,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"CHICAGO, IL, 60644",,09:45 AM,09:45 AM,,Green Streets,
"",,COOK,,,,,,
10-00048640,Tree Planting -,"2524 S BLUE ISLAND AVE , 25-Ward",,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:45 AM,09:46 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00048652,Tree Planting -,"1322 S CALIFORNIA BLVD ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:46 AM,09:46 AM,,Green Streets,
"",,COOK,,,,,,
10-00048661,Tree Planting -,"1326 S CALIFORNIA BLVD ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:47 AM,09:47 AM,,Green Streets,
"",,COOK,,,,,,
10-00048672,Tree Planting -,"1358 S CALIFORNIA BLVD ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:47 AM,09:48 AM,,Green Streets,
"",,COOK,,,,,,
10-00048677,Tree Planting -,"1450 S CALIFORNIA BLVD ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:48 AM,09:48 AM,,Green Streets,
"",,COOK,,,,,,
10-00048682,Tree Planting -,"1534 S CALIFORNIA BLVD ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 13ZG 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:48 AM,09:49 AM,,Green Streets,
"",,COOK,,,,,,
10-00048690,Tree Planting -,"1803 S CALIFORNIA AVE ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:49 AM,09:50 AM,,Green Streets,
"",,COOK,,,,,,
10-00048702,Tree Planting -,"1850 S CALIFORNIA AVE ,",12-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"CHICAGO, IL, 60608",,09:51 AM,09:51 AM,,Green Streets,
"",,COOK,,,,,,
10-00048850,Tree Planting -,"4302 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,2 08JD 7D
"",Green Streets,"CHICAGO, IL, 60624",,09:52 AM,10:04 AM,,Green Streets,
"",,COOK,,,,,,
10-00048865,Tree Planting -,"4346 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,2 08JD 7D
"",Green Streets,"CHICAGO, IL, 60624",,10:04 AM,10:05 AM,,Green Streets,
"",,COOK,,,,,,
10-00048874,Tree Planting -,"4356 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,"CHICAGO, IL, 60624",,10:05 AM,10:05 AM,,Green Streets,
"",,COOK,,,,,,
10-00049105,Tree Planting -,"4451 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 11, 2009",Completed,Bureau of Forestry -,4 25ZF 7D
"",Green Streets,"CHICAGO, IL, 60624",,10:26 AM,10:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00049123,Tree Planting -,"4520 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,4 13 ZG 7D
"",Green Streets,"CHICAGO, IL, 60624",,10:28 AM,10:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00049134,Tree Planting -,"4532 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"CHICAGO, IL, 60624",,10:29 AM,10:29 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00049140,Tree Planting -,"4537 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,"2 32NC, 4 13ZG 7D"
"",Green Streets,"CHICAGO, IL, 60624",,10:29 AM,10:30 AM,,Green Streets,
"",,COOK,,,,,,
10-00049155,Tree Planting -,"4542 W CONGRESS PKWY ,",28-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,2 08JD 7D
"",Green Streets,"CHICAGO, IL, 60624",,10:31 AM,10:31 AM,,Green Streets,
"",,COOK,,,,,,
10-00049162,Tree Planting -,"4652 W CONGRESS PKWY ,",24-Ward,"Jan 12, 2010","NOV 09, 2009",Completed,Bureau of Forestry -,1 25ZF 7D
"",Green Streets,"CHICAGO, IL, 60644",,10:31 AM,10:32 AM,,Green Streets,
"",,COOK,,,,,,
10-00049178,Tree Planting -,"4334 W ARMITAGE AVE , CHICAGO,",35-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"IL, 60639",,10:33 AM,10:33 AM,,Green Streets,
"",,COOK,,,,,,
10-00049182,Tree Planting -,"4602 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60639",,10:33 AM,10:34 AM,,Green Streets,
"",,COOK,,,,,,
10-00049186,Tree Planting -,"4649 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,2 01ZF TURFCARE
"",Green Streets,"IL, 60639",,10:34 AM,10:34 AM,,Green Streets,
"",,COOK,,,,,,
10-00050836,Tree Planting -,"4843 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,06zb turfcare
"",Green Streets,"IL, 60639",,12:48 PM,12:49 PM,,Green Streets,
"",,COOK,,,,,,
10-00050846,Tree Planting -,"4845 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01zf turfcare
"",Green Streets,"IL, 60639",,12:49 PM,12:50 PM,,Green Streets,
"",,COOK,,,,,,
10-00050853,Tree Planting -,"4876 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60639",,12:50 PM,12:50 PM,,Green Streets,
"",,COOK,,,,,,
10-00050858,Tree Planting -,"4878 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60639",,12:50 PM,12:51 PM,,Green Streets,
"",,COOK,,,,,,
10-00050864,Tree Planting -,"4923 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"IL, 60639",,12:51 PM,12:51 PM,,Green Streets,
"",,COOK,,,,,,
10-00050868,Tree Planting -,"5003 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60639",,12:51 PM,12:52 PM,,Green Streets,
"",,COOK,,,,,,
10-00050871,Tree Planting -,"5019 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60639",,12:52 PM,12:52 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00050876,Tree Planting -,"5031 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 16, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60639",,12:52 PM,12:53 PM,,Green Streets,
"",,COOK,,,,,,
10-00054154,Tree Planting -,"1649 S THROOP ST , CHICAGO, IL,",25-Ward,"Jan 13, 2010","OCT 05, 2010",Completed,Bureau of Forestry -,7D 1 25ZF 10-05-10
"",Green Streets,60608,,04:19 AM,10:54 AM,,Green Streets,
"",,COOK,,,,,,
10-00285719,Tree Planting -,"1717 W TAYLOR ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,CNP OVERHANG CANOPY AND
"",Green Streets,60612,,01:39 PM,01:41 PM,,Green Streets,IN FRONT OF MAIN ENTRANCE
"",,COOK,,,,,,
10-00285732,Tree Planting -,"2107 W POLK ST , CHICAGO, IL,",28-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,CNP NRU
"",Green Streets,60612,,01:41 PM,01:42 PM,,Green Streets,
"",,COOK,,,,,,
10-00285736,Tree Planting -,"2105 W TAYLOR ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,
"",Green Streets,60612,,01:43 PM,01:43 PM,,Green Streets,
"",,COOK,,,,,,
10-00285745,Tree Planting -,"802 S PAULINA ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,
"",Green Streets,60612,,01:43 PM,01:44 PM,,Green Streets,
"",,COOK,,,,,,
10-00285757,Tree Planting -,"800 S PAULINA ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,NRU
"",Green Streets,60612,,01:44 PM,01:46 PM,,Green Streets,
"",,COOK,,,,,,
10-00285765,Tree Planting -,"901 S PAULINA ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,NRU GAS PIPE LINE FROM
"",Green Streets,60612,,01:46 PM,01:47 PM,,Green Streets,POLK TO TAYLOR CNP
"",,COOK,,,,,,
10-00285768,Tree Planting -,"1001 S PAULINA ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,NRU GAS PIPE LINE FROM
"",Green Streets,60612,,01:47 PM,01:47 PM,,Green Streets,POLK TO TAYLOR CNP
"",,COOK,,,,,,
10-00285774,Tree Planting -,"2108 W POLK ST , CHICAGO, IL,",28-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,CNP
"",Green Streets,60612,,01:48 PM,01:48 PM,,Green Streets,
"",,COOK,,,,,,
10-00285783,Tree Planting -,"1602 W POLK ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,NRU
"",Green Streets,60612,,01:49 PM,01:50 PM,,Green Streets,
"",,COOK,,,,,,
10-00285793,Tree Planting -,"1897 W POLK ST , CHICAGO, IL,",27-Ward,"Mar 05, 2010","MAR 05, 2010",Completed,Bureau of Forestry -,
"",Green Streets,60612,,01:50 PM,01:50 PM,,Green Streets,
"",,COOK,,,,,,
10-00353268,Tree Planting -,"1018 W FRY ST , CHICAGO, IL,",27-Ward,"Mar 18, 2010","FEB 15, 2011",Completed,Bureau of Forestry -,PARK - WALKWAY-PARKWAY
"",Green Streets,60642,,11:28 AM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00391602,Tree Planting -,"7608 N EASTLAKE TER , CHICAGO,",49-Ward,"Mar 25, 2010","APR 09, 2010",Completed,Bureau of Forestry -,13ZG 7D
"",Green Streets,"IL, 60626",,01:32 PM,12:46 PM,,Green Streets,
"",,COOK,,,,,,
10-00406810,Tree Planting -,"2138 W MADISON ST , CHICAGO, IL,",27-Ward,"Mar 29, 2010","APR 30, 2010",Completed,Bureau of Forestry -,
"",Green Streets,60612,,01:21 PM,12:33 PM,,Green Streets,
"",,COOK,,,,,,
10-00514799,Tree Planting -,"2105 W 19TH ST , CHICAGO, IL,",25-Ward,"Apr 19, 2010","APR 28, 2010",Completed,Bureau of Forestry -,
"",Green Streets,60608,,09:18 AM,10:21 AM,,Green Streets,
"",,COOK,,,,,,
10-00514801,Tree Planting -,"2107 W 19TH ST , CHICAGO, IL,",25-Ward,"Apr 19, 2010","MAR 08, 2011",Completed,Bureau of Forestry -,
"",Green Streets,60608,,09:18 AM,08:11 AM,,Green Streets,
"",,COOK,,,,,,
10-00514824,Tree Planting -,"2135 W 19TH ST , CHICAGO, IL,",25-Ward,"Apr 19, 2010","NOV 04, 2010",Completed,Bureau of Forestry -,
"",Green Streets,60608,,09:19 AM,10:53 AM,,Green Streets,
"",,COOK,,,,,,
10-00514835,Tree Planting -,"2223 W 19TH ST , CHICAGO, IL,",25-Ward,"Apr 19, 2010","MAR 08, 2011",Completed,Bureau of Forestry -,
"",Green Streets,60608,,09:19 AM,08:12 AM,,Green Streets,
"",,COOK,,,,,,
10-00544623,Tree Planting -,"2314 S BLUE ISLAND AVE ,",25-Ward,"Apr 23, 2010","APR 29, 2010",Completed,Bureau of Forestry -,BOF SCHEDULED SR 10-
"",Green Streets,"CHICAGO, IL, 60608",,01:08 PM,01:29 PM,,Green Streets,00422018
"",,COOK,,,,,,
10-00576699,Tree Planting -,"1543 W CORTEZ ST , CHICAGO, IL,",2-Ward,"Apr 29, 2010","MAY 10, 2010",Completed,Bureau of Forestry -,13zg 7d 05.01.10
"",Green Streets,60642,,01:12 PM,02:35 PM,,Green Streets,
"",,COOK,,,,,,
10-00592438,Tree Planting -,"2333 N MILWAUKEE AVE ,",1-Ward,"May 03, 2010","MAY 03, 2010",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60647",,08:46 AM,08:47 AM,,Green Streets,
"",,COOK,,,,,,
10-00606469,Tree Planting -,"1542 W CORTEZ ST , CHICAGO, IL,",2-Ward,"May 04, 2010","MAY 04, 2012",Completed,Bureau of Forestry -,cortez - parkway
"",Green Streets,60642,,04:06 PM,08:40 AM,,Green Streets,
"",,COOK,,,,,,
10-00632530,Tree Planting -,"1079 W TAYLOR ST , CHICAGO, IL,",25-Ward,"May 10, 2010","MAY 10, 2010",Completed,Bureau of Forestry -,CNP NRU
"",Green Streets,60607,,07:49 AM,07:51 AM,,Green Streets,
"",,COOK,,,,,,
10-00632681,Tree Planting -,"1059 W POLK ST , CHICAGO, IL,",25-Ward,"May 10, 2010","MAY 10, 2010",Completed,Bureau of Forestry -,CNP STOP SIGN
"",Green Streets,60607,,07:52 AM,02:36 PM,,Green Streets,
"",,COOK,,,,,,
10-00633201,Tree Planting -,"1033 W POLK ST , CHICAGO, IL,",25-Ward,"May 10, 2010","MAY 10, 2010",Completed,Bureau of Forestry -,CNP TOO CLOSE TO
"",Green Streets,60607,,08:38 AM,08:39 AM,,Green Streets,INTERSECTION AND
"",,COOK,,,,,,CROSSWALK 20'
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00633217,Tree Planting -,"108 W HURON ST , CHICAGO, IL,",2-Ward,"May 10, 2010","MAY 10, 2010",Completed,Bureau of Forestry -,CNP VAULTED
"",Green Streets,60654,,08:40 AM,08:41 AM,,Green Streets,
"",,COOK,,,,,,
10-00637821,Tree Planting -,"1407 N DEARBORN ST , CHICAGO,",2-Ward,"May 10, 2010","OCT 02, 2010",Completed,Bureau of Forestry -,In tree planter on sidewalk - In
"",Green Streets,"IL, 60610",,03:11 PM,12:00 AM,,Green Streets,tree planter on sidewalk where
"",,COOK,,,,,,former tree was struck by
"",,,,,,,,lightning
10-00644038,Tree Planting -,"2046 W 22ND PL , CHICAGO, IL,",25-Ward,"May 11, 2010","NOV 08, 2010",Completed,Bureau of Forestry -,New sidwalk would like a tree
"",Green Streets,60608,,12:38 PM,11:05 AM,,Green Streets,planted in the square would like
"",,COOK,,,,,,Linden tree to be planted
10-00644908,Tree Planting -,"3639 E 106TH ST , CHICAGO, IL,",10-Ward,"May 11, 2010","APR 26, 2010",Completed,Bureau of Forestry -,1OP 06ZB 7D
"",Green Streets,60617,,01:46 PM,01:46 PM,,Green Streets,
"",,COOK,,,,,,
10-00644927,Tree Planting -,"3641 E 106TH ST , CHICAGO, IL,",10-Ward,"May 11, 2010","APR 26, 2010",Completed,Bureau of Forestry -,1OP 06ZB 7D
"",Green Streets,60617,,01:47 PM,01:47 PM,,Green Streets,
"",,COOK,,,,,,
10-00644934,Tree Planting -,"747 E 111TH ST , CHICAGO, IL,",9-Ward,"May 11, 2010","APR 30, 2010",Completed,Bureau of Forestry -,"8 32PC, 9 32WF 7D"
"",Green Streets,60628,,01:48 PM,01:48 PM,,Green Streets,
"",,COOK,,,,,,
10-00644943,Tree Planting -,"1519 W 18TH PL , CHICAGO, IL,",25-Ward,"May 11, 2010","APR 13, 2010",Completed,Bureau of Forestry -,1OP 13ZG 7D
"",Green Streets,60608,,01:49 PM,01:49 PM,,Green Streets,
"",,COOK,,,,,,
10-00644952,Tree Planting -,"2136 W 18TH PL , CHICAGO, IL,",25-Ward,"May 11, 2010","APR 13, 2010",Completed,Bureau of Forestry -,1OP 13ZG 7D
"",Green Streets,60608,,01:49 PM,01:50 PM,,Green Streets,
"",,COOK,,,,,,
10-00644961,Tree Planting -,"975 W 19TH ST , CHICAGO, IL,",25-Ward,"May 11, 2010","APR 13, 2010",Completed,Bureau of Forestry -,1OP 13ZG 7D
"",Green Streets,60608,,01:50 PM,01:50 PM,,Green Streets,
"",,COOK,,,,,,
10-00644969,Tree Planting -,"1359 W 21ST ST , CHICAGO, IL,",25-Ward,"May 11, 2010","APR 13, 2010",Completed,Bureau of Forestry -,1OP 13ZG 7D
"",Green Streets,60608,,01:51 PM,01:51 PM,,Green Streets,
"",,COOK,,,,,,
10-00644979,Tree Planting -,"2901 W 24TH BLVD , CHICAGO, IL,",12-Ward,"May 11, 2010","APR 05, 2010",Completed,Bureau of Forestry -,13ZG ON FRANCISCO
"",Green Streets,60623,,01:51 PM,01:52 PM,,Green Streets,
"",,COOK,,,,,,
10-00644985,Tree Planting -,"209 E 42ND ST , CHICAGO, IL, 60653",3-Ward,"May 11, 2010","APR 06, 2010",Completed,Bureau of Forestry -,13ZG 7D
"",Green Streets,COOK,,01:52 PM,01:52 PM,,Green Streets,
10-00644997,Tree Planting -,"1431 W 49TH ST , CHICAGO, IL,",20-Ward,"May 11, 2010","APR 06, 2010",Completed,Bureau of Forestry -,13ZG 7D
"",Green Streets,60609,,01:53 PM,01:53 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
10-00645007,Tree Planting -,"1722 W 59TH ST , CHICAGO, IL, 15-Ward",,"May 11, 2010","APR 06, 2010",Completed,Bureau of Forestry -,13ZG 7D
"",Green Streets,60636,,01:53 PM,01:54 PM,,Green Streets,
"",,COOK,,,,,,
10-00645013,Tree Planting -,"4439 W 63RD ST , CHICAGO, IL, 13-Ward",,"May 11, 2010","APR 06, 2010",Completed,Bureau of Forestry -,2OP 25ZF 7D
"",Green Streets,60629,,01:54 PM,01:55 PM,,Green Streets,
"",,COOK,,,,,,
10-00645017,Tree Planting -,"3137 W 71ST ST , CHICAGO, IL, 18-Ward",,"May 11, 2010","APR 06, 2010",Completed,Bureau of Forestry -,1OP 25ZF 7D
"",Green Streets,60629,,01:55 PM,01:55 PM,,Green Streets,
"",,COOK,,,,,,
10-00651877,Tree Planting -,"1333 S WABASH AVE , CHICAGO, IL, 3-Ward",,"May 12, 2010","OCT 14, 2010",Completed,Bureau of Forestry -,parkway
"",Green Streets,60605,,12:08 PM,07:38 AM,,Green Streets,
"",,COOK,,,,,,
10-00652491,Tree Planting -,"25 E 71ST ST , CHICAGO, IL, 60619 6-Ward",,"May 12, 2010","APR 16, 2010",Completed,Bureau of Forestry -,1OP 06ZB 7D
"",Green Streets,COOK,,01:15 PM,01:16 PM,,Green Streets,
10-00652501,Tree Planting -,"802 W 79TH ST , CHICAGO, IL, 17-Ward",,"May 12, 2010","APR 26, 2010",Completed,Bureau of Forestry -,1OP 06ZB 7D
"",Green Streets,60620,,01:16 PM,01:16 PM,,Green Streets,
"",,COOK,,,,,,
10-00652506,Tree Planting -,"825 W 79TH ST , CHICAGO, IL, 17-Ward",,"May 12, 2010","APR 26, 2010",Completed,Bureau of Forestry -,1OP 06ZB 7D
"",Green Streets,60620,,01:17 PM,01:17 PM,,Green Streets,
"",,COOK,,,,,,
10-00652512,Tree Planting -,"407 E 90TH ST , CHICAGO, IL, 60619 9-Ward",,"May 12, 2010","APR 16, 2010",Completed,Bureau of Forestry -,32PC 7D
